,Date,Open,High,Low,Close,Adj.Close,Volume
101,13-Nov-20,"1,748.00",1777.13,"1,735.98","1,772.26","1,772.26","14,87,200"
102,12-Nov-20,"1,742.00",1764.98,"1,737.97","1,742.82","1,742.82","13,23,700"
103,11-Nov-20,"1,748.40",1762.90,"1,743.06","1,747.23","1,747.23","15,91,900"
104,10-Nov-20,"1,729.77",1759.38,"1,716.12","1,737.72","1,737.72","21,51,100"
105,09-Nov-20,"1,795.98",1816.89,"1,757.55","1,761.42","1,761.42","26,72,000"
106,06-Nov-20,"1,751.34",1768.50,"1,736.68","1,759.73","1,759.73","14,31,100"
107,05-Nov-20,"1,770.45",1791.82,"1,741.03","1,762.50","1,762.50","19,87,900"
108,04-Nov-20,"1,705.58",1770.03,"1,703.00","1,745.85","1,745.85","35,67,100"
109,03-Nov-20,"1,630.76",1659.00,"1,612.11","1,645.66","1,645.66","15,71,600"
110,02-Nov-20,"1,623.54",1658.24,"1,614.24","1,624.32","1,624.32","22,11,400"
111,30-Oct-20,"1,667.44",1681.32,"1,601.57","1,616.11","1,616.11","49,93,900"
112,29-Oct-20,"1,517.02",1588.74,"1,516.55","1,556.88","1,556.88","27,70,300"
113,28-Oct-20,"1,550.01",1553.81,"1,508.48","1,510.80","1,510.80","22,58,700"
114,27-Oct-20,"1,588.93",1602.00,"1,576.99","1,598.88","1,598.88","12,95,100"
115,26-Oct-20,"1,615.00",1629.58,"1,567.78","1,584.29","1,584.29","17,91,300"
116,23-Oct-20,"1,615.05",1634.12,"1,611.91","1,632.98","1,632.98","15,27,400"
117,22-Oct-20,"1,585.00",1613.42,"1,577.48","1,606.66","1,606.66","15,25,600"
118,21-Oct-20,"1,569.85",1615.14,"1,567.14","1,585.99","1,585.99","30,16,100"
119,20-Oct-20,"1,523.11",1573.84,"1,520.50","1,551.08","1,551.08","20,83,500"
120,19-Oct-20,"1,575.93",1583.93,"1,522.92","1,529.95","1,529.95","14,86,700"
121,16-Oct-20,"1,561.83",1577.71,"1,557.66","1,567.70","1,567.70","17,09,700"
122,15-Oct-20,"1,544.50",1571.40,"1,541.13","1,555.47","1,555.47","15,60,500"
123,14-Oct-20,"1,574.60",1583.85,"1,545.90","1,563.44","1,563.44","16,59,200"
124,13-Oct-20,"1,577.01",1585.16,"1,558.63","1,567.07","1,567.07","19,53,600"
125,12-Oct-20,"1,538.00",1588.42,"1,529.30","1,564.59","1,564.59","27,67,200"
126,09-Oct-20,"1,492.86",1511.85,"1,487.00","1,510.45","1,510.45","16,48,300"
127,08-Oct-20,"1,465.45",1488.03,"1,465.45","1,483.43","1,483.43","13,03,800"
128,07-Oct-20,"1,459.31",1468.97,"1,433.23","1,459.14","1,459.14","18,05,400"
129,06-Oct-20,"1,475.50",1484.52,"1,445.01","1,451.02","1,451.02","13,04,800"
130,05-Oct-20,"1,462.65",1484.70,"1,460.09","1,482.83","1,482.83","10,80,100"
131,02-Oct-20,"1,459.63",1479.03,"1,447.35","1,455.60","1,455.60","15,61,100"
132,01-Oct-20,"1,483.66",1495.07,"1,476.80","1,487.90","1,487.90","16,44,200"
133,30-Sep-20,"1,460.94",1486.20,"1,455.76","1,465.60","1,465.60","20,45,400"
134,29-Sep-20,"1,463.91",1472.00,"1,454.00","1,466.02","1,466.02","15,90,800"
135,28-Sep-20,"1,471.99",1472.99,"1,446.28","1,458.66","1,458.66","15,39,200"
136,25-Sep-20,"1,425.05",1445.94,"1,407.68","1,439.06","1,439.06","15,16,300"
137,24-Sep-20,"1,402.68",1437.99,"1,402.15","1,422.86","1,422.86","17,27,600"
138,23-Sep-20,"1,452.09",1453.08,"1,402.68","1,409.39","1,409.39","18,86,300"
139,22-Sep-20,"1,450.32",1463.97,"1,429.50","1,459.82","1,459.82","16,97,500"
140,21-Sep-20,"1,431.62",1440.06,"1,402.68","1,430.14","1,430.14","28,45,400"
141,18-Sep-20,"1,488.30",1495.20,"1,431.62","1,451.09","1,451.09","31,52,800"
142,17-Sep-20,"1,485.81",1498.66,"1,462.46","1,487.04","1,487.04","20,00,400"
143,16-Sep-20,"1,542.48",1554.37,"1,511.59","1,512.09","1,512.09","11,06,400"
144,15-Sep-20,"1,527.89",1550.99,"1,522.10","1,535.12","1,535.12","11,52,100"
145,14-Sep-20,"1,531.65",1557.00,"1,505.11","1,508.83","1,508.83","21,33,000"
146,11-Sep-20,"1,528.15",1538.70,"1,493.02","1,515.76","1,515.76","15,35,300"
147,10-Sep-20,"1,550.18",1573.66,"1,520.00","1,526.05","1,526.05","16,51,200"
148,09-Sep-20,"1,548.90",1558.72,"1,525.17","1,547.23","1,547.23","19,62,100"
149,08-Sep-20,"1,525.00",1555.55,"1,516.50","1,523.60","1,523.60","27,01,600"
150,04-Sep-20,"1,609.00",1634.99,"1,537.97","1,581.21","1,581.21","27,92,500"
